image_filename,image_entropy,image_delentropy,holo_bit_depth,NMSE,holo_entropy
0001.png,7.2213024,5.580399602,1,1.00E-07,0.999999849
0001.png,7.2213024,5.580399602,2,5.05E-08,1.999999729
0001.png,7.2213024,5.580399602,3,2.44E-08,2.999997492
0001.png,7.2213024,5.580399602,4,1.20E-08,3.99999673
0001.png,7.2213024,5.580399602,5,6.06E-09,4.999992518
0001.png,7.2213024,5.580399602,6,3.13E-09,5.999983783
0001.png,7.2213024,5.580399602,7,1.67E-09,6.999967701
0001.png,7.2213024,5.580399602,8,9.38E-10,7.999944375
0002.png,7.228762856,5.799139204,1,7.32E-08,0.999999965
0002.png,7.228762856,5.799139204,2,3.76E-08,1.999998978
0002.png,7.228762856,5.799139204,3,1.81E-08,2.999997545
0002.png,7.228762856,5.799139204,4,8.78E-09,3.99999704
0002.png,7.228762856,5.799139204,5,4.36E-09,4.999991878
0002.png,7.228762856,5.799139204,6,2.21E-09,5.999985575
0002.png,7.228762856,5.799139204,7,1.14E-09,6.999977533
0002.png,7.228762856,5.799139204,8,6.17E-10,7.9999514
0003.png,7.684643751,6.146750082,1,8.60E-08,0.999999985
0003.png,7.684643751,6.146750082,2,4.69E-08,1.999999684
0003.png,7.684643751,6.146750082,3,2.28E-08,2.999997766
0003.png,7.684643751,6.146750082,4,1.08E-08,3.999995008
0003.png,7.684643751,6.146750082,5,5.11E-09,4.999994343
0003.png,7.684643751,6.146750082,6,2.43E-09,5.999985369
0003.png,7.684643751,6.146750082,7,1.17E-09,6.999970135
0003.png,7.684643751,6.146750082,8,5.69E-10,7.999929302
0004.png,7.526361787,4.048667902,1,8.99E-08,0.999999989
0004.png,7.526361787,4.048667902,2,4.83E-08,1.99999747
0004.png,7.526361787,4.048667902,3,2.33E-08,2.999996532
0004.png,7.526361787,4.048667902,4,1.10E-08,3.999995642
0004.png,7.526361787,4.048667902,5,5.25E-09,4.999988754
0004.png,7.526361787,4.048667902,6,2.52E-09,5.999982878
0004.png,7.526361787,4.048667902,7,1.23E-09,6.99996554
0004.png,7.526361787,4.048667902,8,6.10E-10,7.999923959
0005.png,7.527340959,6.134659731,1,7.15E-08,0.999999891
0005.png,7.527340959,6.134659731,2,3.94E-08,1.999999474
0005.png,7.527340959,6.134659731,3,1.92E-08,2.999998178
0005.png,7.527340959,6.134659731,4,9.04E-09,3.999997188
0005.png,7.527340959,6.134659731,5,4.27E-09,4.999995123
0005.png,7.527340959,6.134659731,6,2.04E-09,5.999986871
0005.png,7.527340959,6.134659731,7,9.78E-10,6.99996836
0005.png,7.527340959,6.134659731,8,4.77E-10,7.999941838
0006.png,7.44201647,4.445767199,1,8.98E-08,1
0006.png,7.44201647,4.445767199,2,4.83E-08,1.999999418
0006.png,7.44201647,4.445767199,3,2.35E-08,2.999998436
0006.png,7.44201647,4.445767199,4,1.12E-08,3.999992737
0006.png,7.44201647,4.445767199,5,5.41E-09,4.999984431
0006.png,7.44201647,4.445767199,6,2.64E-09,5.999979729
