image_filename,image_entropy,image_delentropy,hologram_bit_depth,NMSE,hologram_entropy
0001.png,7.221302399594171,5.5803996018688355,1,1.0257062880494952e-07,0.9999996047956153
0001.png,7.221302399594171,5.5803996018688355,1,1.0266868791716634e-07,0.9999994943518752
0001.png,7.221302399594171,5.5803996018688355,1,1.0260615430602136e-07,0.9999996268491191
0001.png,7.221302399594171,5.5803996018688355,1,1.025912384515881e-07,0.9999997074502777
0001.png,7.221302399594171,5.5803996018688355,1,1.0261451098518657e-07,0.999999730090467
0001.png,7.221302399594171,5.5803996018688355,2,5.044986634675074e-08,1.9999995234756602
0001.png,7.221302399594171,5.5803996018688355,2,5.049096878954887e-08,1.9999993607179523
0001.png,7.221302399594171,5.5803996018688355,2,5.049969437825056e-08,1.9999994748932153
0001.png,7.221302399594171,5.5803996018688355,2,5.056106853547728e-08,1.9999975426731174
0001.png,7.221302399594171,5.5803996018688355,2,5.050273761204971e-08,1.9999996100970416
0001.png,7.221302399594171,5.5803996018688355,3,2.4357337655952286e-08,2.999996551713066
0001.png,7.221302399594171,5.5803996018688355,3,2.4360114866415153e-08,2.999998736566611
0001.png,7.221302399594171,5.5803996018688355,3,2.4357387457248385e-08,2.999997242295984
0001.png,7.221302399594171,5.5803996018688355,3,2.4346743099834993e-08,2.999998089950682
0001.png,7.221302399594171,5.5803996018688355,3,2.433952231211798e-08,2.99999661693599
0001.png,7.221302399594171,5.5803996018688355,4,1.1989806883973668e-08,3.9999952322600714
0001.png,7.221302399594171,5.5803996018688355,4,1.1988217679142685e-08,3.9999956722307557
0001.png,7.221302399594171,5.5803996018688355,4,1.1989579229690162e-08,3.9999971010514472
0001.png,7.221302399594171,5.5803996018688355,4,1.1990014376310718e-08,3.9999955210119595
0001.png,7.221302399594171,5.5803996018688355,4,1.1992414100543915e-08,3.999997261549142
0001.png,7.221302399594171,5.5803996018688355,5,6.056819895300862e-09,4.9999888805093455
0001.png,7.221302399594171,5.5803996018688355,5,6.046042038830521e-09,4.999990113883265
0001.png,7.221302399594171,5.5803996018688355,5,6.057678817759676e-09,4.999995111120856
0001.png,7.221302399594171,5.5803996018688355,5,6.051800283475823e-09,4.999989618561121
0001.png,7.221302399594171,5.5803996018688355,5,6.050647031342238e-09,4.999993796364035
0001.png,7.221302399594171,5.5803996018688355,6,3.139712264937483e-09,5.999984712661552
0001.png,7.221302399594171,5.5803996018688355,6,3.12975565827671e-09,5.999987241025404
0001.png,7.221302399594171,5.5803996018688355,6,3.1427364028722324e-09,5.999983782387314
0001.png,7.221302399594171,5.5803996018688355,6,3.1301890286054764e-09,5.999979275806874
0001.png,7.221302399594171,5.5803996018688355,6,3.131625739314587e-09,5.99998307228334
0001.png,7.221302399594171,5.5803996018688355,7,1.6678242153476272e-09,6.9999695099691746
0001.png,7.221302399594171,5.5803996018688355,7,1.668897687142888e-09,6.999968959265414
0001.png,7.221302399594171,5.5803996018688355,7,1.6683122771273395e-09,6.999966698541916
0001.png,7.221302399594171,5.5803996018688355,7,1.6687426443427869e-09,6.999965286877599
0001.png,7.221302399594171,5.5803996018688355,7,1.6670137386045605e-09,6.999968477901708
0001.png,7.221302399594171,5.5803996018688355,8,9.353519591368448e-10,7.9999397243067625
0001.png,7.221302399594171,5.5803996018688355,8,9.371732752049276e-10,7.999936083127245
0001.png,7.221302399594171,5.5803996018688355,8,9.388838319167417e-10,7.999943366665949
0001.png,7.221302399594171,5.5803996018688355,8,9.371251167106173e-10,7.999948564248675
0001.png,7.221302399594171,5.5803996018688355,8,9.382320022130555e-10,7.999943947892641
0002.png,7.22876285550126,5.79913920441547,1,6.946033200284374e-08,0.9999999083191099
0002.png,7.22876285550126,5.79913920441547,1,6.947079349062978e-08,0.9999997007889215
0002.png,7.22876285550126,5.79913920441547,1,6.947960446180362e-08,0.9999994592697958
0002.png,7.22876285550126,5.79913920441547,1,6.948680179213526e-08,0.9999994970210935
0002.png,7.22876285550126,5.79913920441547,1,6.953042452229133e-08,0.9999995135006913
0002.png,7.22876285550126,5.79913920441547,2,3.7508812393763305e-08,1.999999581383081
0002.png,7.22876285550126,5.79913920441547,2,3.750645910787464e-08,1.9999985274270384
0002.png,7.22876285550126,5.79913920441547,2,3.7518380809362415e-08,1.9999998613210475
0002.png,7.22876285550126,5.79913920441547,2,3.7542759690933616e-08,1.9999985519354593
0002.png,7.22876285550126,5.79913920441547,2,3.7530268041969886e-08,1.999998817335044
0002.png,7.22876285550126,5.79913920441547,3,1.8075676767301165e-08,2.999998617835538
0002.png,7.22876285550126,5.79913920441547,3,1.806859063888548e-08,2.9999978977181367
0002.png,7.22876285550126,5.79913920441547,3,1.8088033546531383e-08,2.9999990597510675
0002.png,7.22876285550126,5.79913920441547,3,1.8070368111043896e-08,2.9999987021270633
0002.png,7.22876285550126,5.79913920441547,3,1.8078734102957957e-08,2.9999982286246527
0002.png,7.22876285550126,5.79913920441547,4,8.790382601729743e-09,3.999996110869408
0002.png,7.22876285550126,5.79913920441547,4,8.762056991695788e-09,3.9999978085219126
0002.png,7.22876285550126,5.79913920441547,4,8.780996974142643e-09,3.9999964665781094
0002.png,7.22876285550126,5.79913920441547,4,8.797081916720044e-09,3.999996233449715
0002.png,7.22876285550126,5.79913920441547,4,8.779911111790326e-09,3.999995729141031
0002.png,7.22876285550126,5.79913920441547,5,4.363496146613614e-09,4.99999143099742
0002.png,7.22876285550126,5.79913920441547,5,4.355268419985706e-09,4.99999033980073
0002.png,7.22876285550126,5.79913920441547,5,4.3623474637776315e-09,4.999992197154045
0002.png,7.22876285550126,5.79913920441547,5,4.362787909414219e-09,4.999993554942575
0002.png,7.22876285550126,5.79913920441547,5,4.35497426168223e-09,4.999993207648631
0002.png,7.22876285550126,5.79913920441547,6,2.205341514849216e-09,5.9999865216904125
0002.png,7.22876285550126,5.79913920441547,6,2.2097249727833094e-09,5.999991752101306
0002.png,7.22876285550126,5.79913920441547,6,2.2121423477457476e-09,5.999984779812481
0002.png,7.22876285550126,5.79913920441547,6,2.2106332082080777e-09,5.999987298309197
0002.png,7.22876285550126,5.79913920441547,6,2.2050047831986974e-09,5.999987939023429
0002.png,7.22876285550126,5.79913920441547,7,1.1416034252478445e-09,6.999969658946843
0002.png,7.22876285550126,5.79913920441547,7,1.1450788510315546e-09,6.999975979343052
0002.png,7.22876285550126,5.79913920441547,7,1.144370024035865e-09,6.999977570012593
0002.png,7.22876285550126,5.79913920441547,7,1.1433743328327154e-09,6.999969179733041
0002.png,7.22876285550126,5.79913920441547,7,1.1421085065182852e-09,6.9999682269468195
0002.png,7.22876285550126,5.79913920441547,8,6.158634756261889e-10,7.999943659668663
0002.png,7.22876285550126,5.79913920441547,8,6.17025719256659e-10,7.999952504662304
0002.png,7.22876285550126,5.79913920441547,8,6.173252713611847e-10,7.9999562048537145
0002.png,7.22876285550126,5.79913920441547,8,6.17018518652917e-10,7.999949053507802
0002.png,7.22876285550126,5.79913920441547,8,6.164215573250427e-10,7.999954179457849
0003.png,7.684643750912881,6.146750081780413,1,6.741643497650533e-08,0.9999994561102302
0003.png,7.684643750912881,6.146750081780413,1,6.732035257725987e-08,0.9999995345714873
0003.png,7.684643750912881,6.146750081780413,1,6.733389235538859e-08,0.9999997370956343
0003.png,7.684643750912881,6.146750081780413,1,6.730103370730448e-08,0.9999991379578735
0003.png,7.684643750912881,6.146750081780413,1,6.728220308529605e-08,0.9999992396709467
0003.png,7.684643750912881,6.146750081780413,2,4.696106568056673e-08,1.9999991854960815
0003.png,7.684643750912881,6.146750081780413,2,4.692638815277814e-08,1.999999219811936
0003.png,7.684643750912881,6.146750081780413,2,4.700978096728217e-08,1.9999995239117738
0003.png,7.684643750912881,6.146750081780413,2,4.695698697789553e-08,1.9999987796187018
0003.png,7.684643750912881,6.146750081780413,2,4.691623576028326e-08,1.9999997703160595
0003.png,7.684643750912881,6.146750081780413,3,2.2844293815395886e-08,2.9999970227251342
0003.png,7.684643750912881,6.146750081780413,3,2.2857667159586164e-08,2.999998146991752
0003.png,7.684643750912881,6.146750081780413,3,2.2833992292856707e-08,2.999997995289163
0003.png,7.684643750912881,6.146750081780413,3,2.2855308950510503e-08,2.999997590948631
0003.png,7.684643750912881,6.146750081780413,3,2.2860712869453432e-08,2.999997360343734
0003.png,7.684643750912881,6.146750081780413,4,1.0765972332695376e-08,3.9999951316089097
0003.png,7.684643750912881,6.146750081780413,4,1.0776635959234826e-08,3.999994212891678
0003.png,7.684643750912881,6.146750081780413,4,1.0772917643516354e-08,3.9999954132769844
0003.png,7.684643750912881,6.146750081780413,4,1.079166443708098e-08,3.999995354807821
0003.png,7.684643750912881,6.146750081780413,4,1.078466193036821e-08,3.9999965299180995
0003.png,7.684643750912881,6.146750081780413,5,5.10145140522513e-09,4.9999923739431065
0003.png,7.684643750912881,6.146750081780413,5,5.080422913764287e-09,4.999989883242004
0003.png,7.684643750912881,6.146750081780413,5,5.099206671930706e-09,4.999989857744939
0003.png,7.684643750912881,6.146750081780413,5,5.101344999718149e-09,4.999990736802533
0003.png,7.684643750912881,6.146750081780413,5,5.096223533881424e-09,4.999994607689762
0003.png,7.684643750912881,6.146750081780413,6,2.4296753597213016e-09,5.999985291986091
0003.png,7.684643750912881,6.146750081780413,6,2.430672544298859e-09,5.999985334897129
0003.png,7.684643750912881,6.146750081780413,6,2.4270846175082075e-09,5.999980902224707
0003.png,7.684643750912881,6.146750081780413,6,2.4299787248132945e-09,5.9999876585059795
0003.png,7.684643750912881,6.146750081780413,6,2.429285082700724e-09,5.999982241479912
0003.png,7.684643750912881,6.146750081780413,7,1.1665379526003274e-09,6.99996618304939
0003.png,7.684643750912881,6.146750081780413,7,1.1673588260945138e-09,6.999958593460654
0003.png,7.684643750912881,6.146750081780413,7,1.1653020015554057e-09,6.999965386569712
0003.png,7.684643750912881,6.146750081780413,7,1.1667393804916337e-09,6.999964300150543
0003.png,7.684643750912881,6.146750081780413,7,1.1665521744489426e-09,6.999965468148063
0003.png,7.684643750912881,6.146750081780413,8,5.704063825380126e-10,7.999929034786819
0003.png,7.684643750912881,6.146750081780413,8,5.692605191734232e-10,7.999941229434583
0003.png,7.684643750912881,6.146750081780413,8,5.699545112916868e-10,7.999929471891541
0003.png,7.684643750912881,6.146750081780413,8,5.677487188367252e-10,7.999934034768861
0003.png,7.684643750912881,6.146750081780413,8,5.692714557963234e-10,7.999943275523942
0004.png,7.526361786590134,4.0486679016851745,1,7.500482287077228e-08,0.9999995990894415
0004.png,7.526361786590134,4.0486679016851745,1,7.497157430194974e-08,0.9999993169423023
0004.png,7.526361786590134,4.0486679016851745,1,7.50117599143521e-08,0.9999994763617047
0004.png,7.526361786590134,4.0486679016851745,1,7.497262238861664e-08,0.9999996993700575
0004.png,7.526361786590134,4.0486679016851745,1,7.51112063050012e-08,0.9999997788793836
0004.png,7.526361786590134,4.0486679016851745,2,4.8405778135123075e-08,1.999999162892553
0004.png,7.526361786590134,4.0486679016851745,2,4.841968713733348e-08,1.9999995148871357
0004.png,7.526361786590134,4.0486679016851745,2,4.836350264375927e-08,1.9999997569739445
0004.png,7.526361786590134,4.0486679016851745,2,4.833600405789897e-08,1.999999882570778
0004.png,7.526361786590134,4.0486679016851745,2,4.8360640951966026e-08,1.9999996832690745
0004.png,7.526361786590134,4.0486679016851745,3,2.331949252737869e-08,2.999995795786623
0004.png,7.526361786590134,4.0486679016851745,3,2.3339869100273316e-08,2.9999973825456565
0004.png,7.526361786590134,4.0486679016851745,3,2.3396200570415142e-08,2.999998170989249
0004.png,7.526361786590134,4.0486679016851745,3,2.3343065905996794e-08,2.9999980227529908
0004.png,7.526361786590134,4.0486679016851745,3,2.334046995560367e-08,2.9999976435045497
0004.png,7.526361786590134,4.0486679016851745,4,1.1014169846076777e-08,3.9999958181196793
0004.png,7.526361786590134,4.0486679016851745,4,1.1018902865909797e-08,3.999996964614048
0004.png,7.526361786590134,4.0486679016851745,4,1.1013235741710665e-08,3.9999972476703145
0004.png,7.526361786590134,4.0486679016851745,4,1.1022776417562545e-08,3.999994806819841
0004.png,7.526361786590134,4.0486679016851745,4,1.1013492456563367e-08,3.9999954567615745
0004.png,7.526361786590134,4.0486679016851745,5,5.239145638690651e-09,4.999990802333701
0004.png,7.526361786590134,4.0486679016851745,5,5.2498266641101925e-09,4.999993180429649
0004.png,7.526361786590134,4.0486679016851745,5,5.250114592980992e-09,4.999995236393293
0004.png,7.526361786590134,4.0486679016851745,5,5.243897963212184e-09,4.999989395735232
0004.png,7.526361786590134,4.0486679016851745,5,5.2542464754124776e-09,4.999994459301607
0004.png,7.526361786590134,4.0486679016851745,6,2.522140461565497e-09,5.999982242414138
0004.png,7.526361786590134,4.0486679016851745,6,2.5251691400329385e-09,5.999986522328341
0004.png,7.526361786590134,4.0486679016851745,6,2.53157055625896e-09,5.99998503365223
0004.png,7.526361786590134,4.0486679016851745,6,2.5237984862793594e-09,5.999989495951504
0004.png,7.526361786590134,4.0486679016851745,6,2.519586054442206e-09,5.999985434526272
0004.png,7.526361786590134,4.0486679016851745,7,1.2271928797214277e-09,6.999968474152277
0004.png,7.526361786590134,4.0486679016851745,7,1.2252164920620958e-09,6.999970521517103
0004.png,7.526361786590134,4.0486679016851745,7,1.223388115988996e-09,6.999965316414514
0004.png,7.526361786590134,4.0486679016851745,7,1.2204186335584666e-09,6.999970843557337
0004.png,7.526361786590134,4.0486679016851745,7,1.2256122474094707e-09,6.999975057634138
0004.png,7.526361786590134,4.0486679016851745,8,6.088669181165552e-10,7.999935499265318
0004.png,7.526361786590134,4.0486679016851745,8,6.091029424334303e-10,7.999938377919301
0004.png,7.526361786590134,4.0486679016851745,8,6.077631471590672e-10,7.9999292138213445
0004.png,7.526361786590134,4.0486679016851745,8,6.072667176527312e-10,7.999945998505211
0004.png,7.526361786590134,4.0486679016851745,8,6.08696969895614e-10,7.999924893596434
0005.png,7.527340959303905,6.1346597312683935,1,6.038263927650584e-08,0.9999999263734092
