image_filename,image_entropy,image_delentropy,holo_bit_depth,NMSE,holo_entropy
0001.png,7.221302399594171,5.5803996018688355,1,1.002668123818033e-07,0.9999998490988328
0001.png,7.221302399594171,5.5803996018688355,2,5.0477334418294095e-08,1.9999997293578464
0001.png,7.221302399594171,5.5803996018688355,3,2.435842027745532e-08,2.9999974924026467
0001.png,7.221302399594171,5.5803996018688355,4,1.2011363194061598e-08,3.9999967296435925
0001.png,7.221302399594171,5.5803996018688355,5,6.0630003446349425e-09,4.999992518444818
0001.png,7.221302399594171,5.5803996018688355,6,3.13256756494917e-09,5.999983782571549
0001.png,7.221302399594171,5.5803996018688355,7,1.6692111520671082e-09,6.999967701186954
0001.png,7.221302399594171,5.5803996018688355,8,9.375266045382447e-10,7.999944375034949
0002.png,7.22876285550126,5.79913920441547,1,7.315728375149265e-08,0.9999999652030684
0002.png,7.22876285550126,5.79913920441547,2,3.7553803416964905e-08,1.9999989780643355
0002.png,7.22876285550126,5.79913920441547,3,1.810450764559495e-08,2.999997545162629
0002.png,7.22876285550126,5.79913920441547,4,8.783045222908015e-09,3.999997040468445
0002.png,7.22876285550126,5.79913920441547,5,4.3588738298829136e-09,4.999991878019972
0002.png,7.22876285550126,5.79913920441547,6,2.209176955355105e-09,5.9999855750163285
0002.png,7.22876285550126,5.79913920441547,7,1.1420928536784778e-09,6.999977533415514
0002.png,7.22876285550126,5.79913920441547,8,6.166125354171782e-10,7.9999514001988885
0003.png,7.684643750912881,6.146750081780413,1,8.598316664354285e-08,0.9999999849171013
0003.png,7.684643750912881,6.146750081780413,2,4.687020472307493e-08,1.9999996841276602
0003.png,7.684643750912881,6.146750081780413,3,2.280746134873175e-08,2.999997766275294
0003.png,7.684643750912881,6.146750081780413,4,1.0773028084787206e-08,3.999995007956323
0003.png,7.684643750912881,6.146750081780413,5,5.105035689482833e-09,4.999994342835762
0003.png,7.684643750912881,6.146750081780413,6,2.4323730516199217e-09,5.999985368983239
