image_filename,image_entropy,image_delentropy,holo_bit_depth,NMSE,holo_entropy
0069.png,7.905981147616708,5.818354938566041,1,1.1530547096842719e-07,0.9999998851205188
0069.png,7.905981147616708,5.818354938566041,2,5.880384908345038e-08,1.9999984944356843
0069.png,7.905981147616708,5.818354938566041,3,2.8506737168024494e-08,2.9999971395849987
0069.png,7.905981147616708,5.818354938566041,4,1.4220351677417753e-08,3.9999949058741824
0069.png,7.905981147616708,5.818354938566041,5,7.353727571748354e-09,4.9999929308094355
0069.png,7.905981147616708,5.818354938566041,6,3.958456100260987e-09,5.999982393470369
0069.png,7.905981147616708,5.818354938566041,7,2.2178858942872794e-09,6.9999664456130395
0069.png,7.905981147616708,5.818354938566041,8,1.3482268626692228e-09,7.999930190920012
0070.png,7.770417882001065,5.919934403922922,1,9.630710606246097e-08,0.9999999999864255
0070.png,7.770417882001065,5.919934403922922,2,5.065665549963837e-08,1.9999991663820187
0070.png,7.770417882001065,5.919934403922922,3,2.455260048090216e-08,2.9999981663635618
0070.png,7.770417882001065,5.919934403922922,4,1.1897279781345647e-08,3.999997125966931
0070.png,7.770417882001065,5.919934403922922,5,5.88232179974293e-09,4.999990868439818
0070.png,7.770417882001065,5.919934403922922,6,2.9724033162128686e-09,5.999985398596437
0070.png,7.770417882001065,5.919934403922922,7,1.5403630863916836e-09,6.999964613689672
0070.png,7.770417882001065,5.919934403922922,8,8.364514467614737e-10,7.999928220383569
0071.png,7.562085495215512,5.754626164389301,1,9.082376820348769e-08,0.9999999142050773
0071.png,7.562085495215512,5.754626164389301,2,4.84540842899844e-08,1.9999990098648588
0071.png,7.562085495215512,5.754626164389301,3,2.3476762372351722e-08,2.9999967797728586
0071.png,7.562085495215512,5.754626164389301,4,1.115640278877998e-08,3.999996426390285
0071.png,7.562085495215512,5.754626164389301,5,5.354966725315573e-09,4.99999419482441
0071.png,7.562085495215512,5.754626164389301,6,2.6028378567646477e-09,5.999982398509062
0071.png,7.562085495215512,5.754626164389301,7,1.2717506062887869e-09,6.999973537668865
0071.png,7.562085495215512,5.754626164389301,8,6.431285093746017e-10,7.999929085647406
0072.png,7.779129985193829,5.233580722411557,1,1.0021938742971947e-07,0.9999997288456647
0072.png,7.779129985193829,5.233580722411557,2,5.15804415420415e-08,1.999999071303719
0072.png,7.779129985193829,5.233580722411557,3,2.4766671300317567e-08,2.9999982213645997
0072.png,7.779129985193829,5.233580722411557,4,1.2050671473986203e-08,3.999995641875238
0072.png,7.779129985193829,5.233580722411557,5,6.04774791951752e-09,4.999992886887429
0072.png,7.779129985193829,5.233580722411557,6,3.1083596447469148e-09,5.9999765222393195
0072.png,7.779129985193829,5.233580722411557,7,1.655703126002693e-09,6.999968684424714
